Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.382	52	405	-	663
1	2	0.466	74	560	-	441
1	3	0.741	251	3355	-	114
2	1	0.329	129	763	-	859
2	2	0.39	187	1281	-	639
2	3	0.749	28	410	-	110
3	1	0.382	218	1704	-	663
4	1	0.359	196	1316	-	741
4	2	0.405	203	1226	-	593
5	1	0.367	144	767	-	714
5	2	0.405	132	804	-	593
5	3	0.764	34	376	-	102
6	1	0.214	96	592	-	1500
6	2	0.298	103	255	-	1000
6	3	0.321	140	517	-	900
6	4	0.336	125	352	-	800
6	5	0.367	102	370	-	700
6	6	0.405	98	422	-	600
6	7	0.443	178	869	-	500
6	8	0.489	70	379	-	400
6	9	0.558	68	470	-	300
6	10	0.634	62	474	-	200
6	11	0.733	43	449	-	100

